Country Name,Country Code,Secure Internet servers (per 1 million people) 2022,Individuals using the Internet (% of population) 2022 ,Mobile cellular subscriptions (per 100 people) 2022 
Malta,MLT,5098.671523,91.5406,131.5920538
Marshall Islands,MHL,99.80786985,73.2238,..
Mauritania,MRT,25.22747284,44.3616,113.1204131
Mauritius,MUS,1688.682107,75.5,161.3582163
Mexico,MEX,381.8895082,78.6322,100.2881985
"Micronesia, Fed. Sts.",FSM,142.7118825,40.5434,..
Moldova,MDA,8416.335331,63.5349,127.4162572
Monaco,MCO,22886.6456,98.3776,106.8167485
Mongolia,MNG,2187.988169,83.9145,142.2895592
Montenegro,MNE,1278.326931,88.2219,203.1681662
Morocco,MAR,545.6070369,89.9,..
Mozambique,MOZ,33.46986056,21.207,42.07158261
Myanmar,MMR,14.8260349,..,106.6964737
Namibia,NAM,315.6078462,62.215,113.1970166
Nauru,NRU,254.2157444,82.6668,..
Nepal,NPL,359.4764687,49.5609,..
Netherlands,NLD,181183.7897,92.5197,118.0652669
New Caledonia,NCL,6899.482103,..,..
New Zealand,NZL,18370.98413,95.7299,114.6898687
Nicaragua,NIC,95.08734218,61.0524,..
Niger,NER,4.187741509,16.937,..
Nigeria,NGA,47.09369395,35.4563,101.6857635
North Macedonia,MKD,1735.534844,84.2304,97.83329942
Northern Mariana Islands,MNP,2148.530752,..,..
Norway,NOR,44150.88745,99,110.6788541
Oman,OMN,284.3415938,97.849,..
Pakistan,PAK,116.1506874,32.9486,81.74691267
Palau,PLW,1407.736922,..,132.927167
Panama,PAN,2231.653394,73.6085,156.3065885
Papua New Guinea,PNG,83.69948591,26.991,..
Paraguay,PRY,626.5842108,76.2592,127.7049687
Peru,PER,701.5890278,74.675,122.0264016
Philippines,PHL,100.1892364,75.2111,144.0428223
Poland,POL,34772.62854,86.9411,131.9444373
Portugal,PRT,27622.75534,84.4969,124.5494123
Puerto Rico,PRI,502.777387,87.2918,119.7930948
Qatar,QAT,512.543968,100,174.1281471
Romania,ROU,24738.06077,85.5031,118.1071502
Russian Federation,RUS,19939.03323,90.418,..
Rwanda,RWA,115.5224185,34.4405,79.86005064
Samoa,WSM,566.7538477,75.2869,60.40057199
San Marino,SMR,37712.93142,85.0607,121.8062983
Sao Tome and Principe,STP,30.93170721,56.9899,86.77896033
Saudi Arabia,SAU,323.7584298,100,132.3800002
Senegal,SEN,44.58644879,59.9832,120.4336409
Serbia,SRB,11871.19895,83.5383,..
Seychelles,SYC,51769.29879,86.6654,191.50843
Sierra Leone,SLE,11.3570366,30.3518,..
Singapore,SGP,212649.3386,95.9539,156.4790531
Sint Maarten (Dutch part),SXM,1020.432379,..,..
Slovak Republic,SVK,36900.61696,89.0677,131.9254542
Slovenia,SVN,61863.77763,88.9125,126.1838135
Solomon Islands,SLB,83.21959988,44.9575,..
Somalia,SOM,5.617378867,27.6,50.25710738
South Africa,ZAF,14989.94604,74.703,167.3958702
South Sudan,SSD,5.262595819,12.1407,30.02012982
Spain,ESP,27061.61275,94.4855,124.0994495
Sri Lanka,LKA,486.5425364,50.1067,143.0794174
St. Kitts and Nevis,KNA,9398.616969,76.4575,..
St. Lucia,LCA,721.5531852,74.1859,..
St. Martin (French part),MAF,1039.140977,..,..
St. Vincent and the Grenadines,VCT,225.3885503,77.7418,100.4617693
Sudan,SDN,9.456629367,28.7045,73.96660858
Suriname,SUR,3926.735177,75.7614,150.2880072
Sweden,SWE,45805.44508,95.0097,125.0711442
Switzerland,CHE,151274.2039,96.8046,119.5610489
Syrian Arab Republic,SYR,78.93270166,..,..
Tajikistan,TJK,100.3710192,36.0872,..
Tanzania,TZA,43.93324057,31.8913,91.89984822
Thailand,THA,2746.247947,87.9772,176.3169269
Timor-Leste,TLS,211.7878178,40.7521,110.4161199
Togo,TGO,80.64038809,37.6212,74.18189659
Tonga,TON,780.6401249,..,..
Trinidad and Tobago,TTO,401.9607484,79.9843,130.5663978
Tunisia,TUN,739.5620914,73.8379,129.2577838
Turkiye,TUR,9166.001382,83.4372,105.807654
Turkmenistan,TKM,103.455053,..,..
Turks and Caicos Islands,TCA,676.1620171,..,..
Tuvalu,TUV,500.4003203,81.1913,..
Uganda,UGA,43.85712857,..,69.986293
Ukraine,UKR,8917.222993,..,..
United Arab Emirates,ARE,1626.60421,100,212.2208173
United Kingdom,GBR,44298.35819,95.3412,120.8191165
United States,USA,180616.3956,97.1299,110.1664718
Uruguay,URY,4678.386028,89.873,138.526391
Uzbekistan,UZB,733.5651567,83.9,103.0681174
Vanuatu,VUT,2319.147985,69.8888,78.19948583
"Venezuela, RB",VEN,214.3691332,..,63.41889546
Viet Nam,VNM,4713.442142,78.59,139.9496874
Virgin Islands (U.S.),VIR,607.1357423,..,..
West Bank and Gaza,PSE,517.8828189,88.6469,..
"Yemen, Rep.",YEM,9.209144806,17.6948,..
Zambia,ZMB,49.81903879,31.2342,99.10241824
Zimbabwe,ZWE,78.10041859,32.5615,87.62450647







